#{"t_start": 1618264023.322426, "env_id": null}
r,l,t
-0.904762,5,359.057893
-0.785714,10,359.661533
-0.904762,5,359.972696
-0.833333,8,360.472359
-0.833333,8,360.947579
1.190476,9,361.420138
-0.785714,10,362.003607
-0.880952,6,362.352643
-0.809524,9,362.865274
1.071429,4,363.064765
-0.904762,5,363.364962
1.071429,4,363.556475
1.071429,4,363.757964
-0.833333,8,364.230959
-0.928571,4,364.471314
-0.928571,4,364.72666
-0.833333,8,365.183439
-9.809524,9,365.671107
-0.904762,5,365.960333
-0.880952,6,366.318375
1.071429,4,366.514851
-0.904762,5,366.825021
1.095238,5,367.082359
-0.785714,10,367.641865
-0.928571,4,367.886184
-0.857143,7,368.30307
-0.833333,8,368.762842
1.071429,4,368.960315
-0.928571,4,369.205655
-0.857143,7,369.604588
1.166667,8,370.030451
-0.928571,4,370.27779
-0.880952,6,370.635831
-0.761905,11,371.280317
-0.904762,5,371.580672
-0.857143,7,375.561281
1.071429,4,375.772744
-0.928571,4,376.025041
-0.880952,6,376.388101
1.071429,4,376.580556
1.071429,4,376.772044
-0.857143,7,377.174968
-0.928571,4,377.406349
-0.857143,7,377.811265
-0.857143,7,378.221201
1.071429,4,378.427617
-0.809524,9,378.965181
1.071429,4,379.161654
-0.904762,5,379.487782
1.238095,11,380.075237
-0.904762,5,380.388914
-0.928571,4,380.629243
-0.880952,6,380.984294
-0.880952,6,381.340343
-0.928571,4,381.601999
-0.880952,6,381.955029
-0.785714,10,382.54547
-0.857143,7,382.967322
-0.857143,7,383.37922
1.071429,4,383.590683
1.214286,10,384.115284
-0.857143,7,384.531153
-0.809524,9,385.081667
-0.928571,4,385.325018
-0.833333,8,385.785785
-0.880952,6,386.145823
-0.857143,7,386.543787
-0.928571,4,386.784115
-0.928571,4,387.035442
-0.833333,8,387.492248
-0.904762,5,387.813362
-0.880952,6,388.166446
1.190476,9,388.667079
-0.857143,7,389.07499
-0.880952,6,389.413085
-0.928571,4,389.663431
-0.809524,9,390.179038
-0.904762,5,390.485218
-0.857143,7,390.886176
-0.880952,6,391.237234
-0.833333,8,391.716881
-0.761905,11,392.3398
-0.928571,4,392.585145
-0.833333,8,393.058376
-0.833333,8,393.531886
-0.833333,8,394.00511
-0.904762,5,394.307302
-0.904762,5,394.620463
-0.761905,11,395.2697
-0.833333,8,395.762381
-0.809524,9,396.280035
-0.809524,9,396.791695
-0.880952,6,397.14575
-0.833333,8,397.607511
-0.880952,6,397.969518
1.071429,4,398.168551
-0.714286,13,398.916019
1.071429,4,399.109535
-0.857143,7,399.503479
-0.904762,5,399.8206
1.166667,8,400.241474
-0.904762,5,400.540911
-0.904762,5,400.830841
-0.785714,10,401.399908
-0.833333,8,401.859645
-0.785714,10,402.463035
-0.857143,7,402.88291
-0.880952,6,403.244956
-0.904762,5,403.542146
-0.785714,10,404.144536
-0.928571,4,404.387916
-0.809524,9,404.90453
1.071429,4,405.11893
1.071429,4,405.319658
-0.928571,4,405.559019
-0.833333,8,406.020811
-0.809524,9,406.548372
-0.761905,11,407.176702
-0.857143,7,407.578617
1.214286,10,408.114217
-0.904762,5,408.41937
1.071429,4,408.618865
-0.857143,7,409.030735
-0.833333,8,409.480531
-0.809524,9,409.998179
